ID,SENTENCE,judgement1,judgement2,judgement3,judgement4,judgement5,judgement6,judgement7,judgement8,judgement9,judgement10,judgement11,judgement12,judgement13,judgement14,judgement15,judgement16,judgement17,judgement18,judgement19,judgement20
951587297,"The new product has performed well in a market test in Las Vegas, Nev., Mr. Calloway said.",2,2,1,3,1,2,1,1,3,2,3,4,1,1,2,1,5,4,1,3
951587446,"Normally, Sotheby's would have earned 20 % of the total in commissions.",3,2,1,2,1,1,2,2,1,2,1,4,1,3,1,5,1,2,3,1
951586659,"Although Wang will report a loss for the first quarter ended Sept. 30 and the full fiscal year, Mr. Miller says he expects the company will return to profitability by the fourth quarter.",3,1,2,7,3,4,1,2,2,4,1,4,4,5,5,2,3,5,4,5
951586611,"Great Western Financial said third-quarter profit rose slightly to $ 68.4 million, or 52 cents a share, from $ 67.9 million, or 53 cents a share, from a year ago.",4,2,2,3,3,2,5,4,2,4,3,3,4,4,2,5,5,5,2,4
951587577,"Some 822 New York Stock Exchange issues advanced in price, while 668 declined.",6,1,2,3,2,2,2,1,3,5,2,5,3,2,5,1,5,2,1,1
951587497,"This year he bought two stores, one in Brooklyn and one in Queens.",1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,2,1,1,1,1
951586784,"Kemper Corp.'s Kemper Financial Services unit said it cut off Bear Stearns, Morgan Stanley, Oppenheimer and General Electric Co.'s Kidder, Peabody & Co. unit.",3,3,1,2,3,3,3,4,5,3,2,6,6,2,4,2,4,5,6,3
951587225,"$ 200 million of general obligation tax revenue anticipation notes, Series 1990, due Sept. 28, 1990.",5,3,2,2,3,4,6,3,5,3,3,4,4,3,5,2,3,3,4,5
951586642,"The European Community's consumer price index rose a provisional 0.6 % in September from August and was up 5.3 % from September 1988, according to Eurostat, the EC's statistical agency.",6,3,4,3,4,6,4,5,5,4,3,5,4,2,2,2,6,2,3,5
951587459,"And now, at the crucial moment, he's running out of money.",1,1,1,1,1,1,1,3,3,2,1,1,2,2,1,2,1,1,1,1
951586741,Falcon Cable Systems Co. said it proposed an amendment that would allow it to increase its debt cap to 65 % of the company's fair market value from the 40 % currently allowed.,6,7,2,5,4,4,5,3,4,5,3,6,6,6,5,3,6,2,3,5
951587483,"Personal spending rose 0.2 % in September, the smallest gain in a year.",3,2,1,1,2,2,2,3,2,3,4,1,1,3,1,2,2,2,1,3
951586457,"Mr. O'Brien will elaborate on the SIA's position in testimony before the House Telecommunications and Finance Subcommittee this week, a spokesman said.",3,2,1,2,3,3,1,4,5,5,3,6,4,3,4,2,4,3,2,2
951587489,"Results declined, however, in Sun's refining and marketing and coal businesses.",2,2,1,2,4,2,2,2,2,4,1,4,2,2,6,4,4,3,3,2
951586396,"For the year ended June 30, 1989, Merksamer Jewelers had $ 62 million of revenue and operating profit of $ 2.5 million.",3,2,1,6,2,3,2,2,1,4,2,3,1,3,4,3,1,2,5,3
951587569,"At the end of the third quarter McDonald's had 10,873 units operating world-wide.",1,2,4,5,1,2,3,1,3,2,3,4,5,1,1,1,1,3,3,2
951586834,"Par Pharmaceutical Inc. said it named its interim president and chief executive officer, Kenneth I. Sawyer, to those posts permanently, and elected him to the board.",2,2,5,2,7,2,2,5,2,6,1,5,5,2,2,5,3,5,5,6
951586714,"Since 1985, Japanese investors have bought nearly 80 % of $ 10 billion in Fannie Mae corporate debt issued to foreigners, money that Fannie Mae uses to buy mortgages from U.S. banks.",3,2,2,2,3,3,5,3,6,5,2,6,4,4,4,5,2,6,5,4
951587566,"Without the increase in defense bookings, September orders would have plummeted 3.9 %.",5,1,1,2,2,4,2,3,1,4,2,4,2,2,1,3,2,3,1,2
951587367,"So the results, while not news, aren't exactly theater either, at least not good theater.",2,3,1,2,3,4,1,7,2,1,3,3,1,2,6,4,2,3,3,6
951587085,Perhaps in time the Supreme Court will correct them.,1,1,1,1,1,1,1,2,2,4,1,2,1,1,4,1,1,2,1,1
951586743,"One way that money fund managers boost yields in a declining rate environment is by extending the maturities of their investments, so they can earn the current higher rates for a longer period.",3,3,5,2,4,6,3,5,5,4,2,4,5,7,5,4,4,2,4,5
951586433,"Philip Morris, the most active Big Board issue for the second consecutive session, was unchanged at 43 1/4 on 3.9 million shares.",4,2,3,1,3,3,1,4,5,6,3,3,2,3,4,2,2,3,2,4
951587374,Standard & Poor's 500-stock Index rose 5.37 to 347.13 and the Nasdaq composite index jumped 7.52 to 470.80.,6,6,1,6,1,2,4,2,5,3,7,6,3,6,3,3,7,6,3,3
951586726,"A few months ago your paper reported the results of a study to determine why Asians who arrive in this country without any money, and unable to speak English, become overnight successes.",2,3,2,6,5,1,3,2,3,2,5,1,6,5,2,1,5,2,5,5
951586773,"The action, in the Canadian Federal Court, will be against Canada, the Netherlands, West Germany, Britain and the U.S., the ministry spokesman said.",1,2,1,2,1,3,5,1,3,3,3,3,2,2,4,2,5,2,5,6
951586427,"Betty Raptopoulos, senior metals analyst at Prudential-Bache Securities in New York, agreed that most of the selling was of a technical nature.",3,3,1,2,3,3,5,4,4,3,2,4,5,2,4,5,4,3,5,1
951586998,"Morgan, Toronto-Dominion and Provident are leading that syndicate.",3,1,2,1,3,2,1,1,3,1,2,1,1,2,1,2,3,6,5,1
951587534,"All of the changes will reduce its overhead and streamline operations, Boeing said.",1,2,1,2,1,4,3,1,1,3,2,2,3,1,2,1,1,2,1,2
951586736,He said results were better than he'd expected and indicate that Goodyear is in the midst of a turnaround from a string of lackluster quarters that have plagued the company for a year.,2,6,2,7,1,3,5,4,3,2,4,5,6,1,4,2,4,5,3,5
951586960,"Security said it signed a letter of intent to purchase La Jolla Bancorp, agreeing to pay $ 15 of its own stock for each share of La Jolla.",2,2,2,3,4,5,3,1,4,2,4,5,4,1,3,2,6,3,2,5
951587123,"Bonds: Shearson Lehman Hutton Treasury index 3427.39, up",4,1,3,4,1,1,2,2,2,5,1,3,4,4,5,2,2,3,3,1
951587211,"Dow Jones industrials 2689.14, up 5.94; transportation 1230.80, off 32.71; utilities 215.48, up 0.06.",5,2,2,3,6,3,6,4,2,4,2,3,4,3,2,5,2,5,6,5
951586595,"In New York, Roger Killion, a Hambrecht executive vice president, said he expects OTC trading at the company to resume this morning, either in New York or in San Francisco.",2,3,1,2,3,2,5,1,3,3,7,3,3,3,4,2,5,4,4,2
951587466,"The downgrade anticipates completion of the IMA Holdings acquisition today, Moody's said.",3,3,1,2,2,4,2,1,4,3,5,3,2,2,2,2,3,2,1,4
951587366,"The downturn in total value may be only temporary, suggested Herb Adler, a KPMG Peat Marwick partner.",2,2,1,2,2,3,3,3,3,6,3,5,2,1,4,4,4,1,4,1
951587200,"The immediate target of Rep. Gonzalez's inquiry is Danny Wall, chairman of the Office of Thrift Supervision.",1,2,1,2,2,3,3,2,1,2,5,4,3,2,2,2,1,2,1,1
951587210,"In the year-ago quarter, the company reported earnings of $ 2.2 million, or 35 cents a share.",1,2,1,1,2,4,3,2,2,2,2,1,5,2,2,3,4,5,4,2
951587463,"For the year, however, access lines in service have increased 5.5 %.",3,3,2,1,1,2,2,3,3,2,2,2,3,2,2,3,2,3,1,5
951586853,"The noncallable issue, which has a one-time put Oct. 15, 1999, was priced at a spread of 66 basis points above the Treasury's 10-year note.",3,4,1,2,6,6,5,5,2,5,4,6,4,5,5,5,5,5,2,7
951587298,"Last year, the team ended up $ 2 million in the red on $ 30 million in revenue.",1,1,1,2,2,3,3,2,1,4,2,1,4,3,3,2,3,2,3,1
951586675,"West Germany's biggest union, IG Metall, said it is ready to back demands for more pay and shorter hours with strikes against the nation's automotive, steel and engineering industries.",1,3,3,2,2,2,4,3,5,5,3,3,3,4,4,4,4,1,4,3
951587072,Assets soared $ 4.5 billion in the previous week.,3,1,1,1,1,1,2,2,3,2,1,1,2,1,1,2,2,1,2,2
951587314,"In New York Stock Exchange composite trading, Contel closed at $ 33.75 a share, down .50 cents.",3,2,2,3,4,2,3,3,3,2,4,4,3,4,1,3,5,1,5,2
951586683,Imperial said in a statement it expects other complaints to be filed in the wake of the original suit and a recent article in Barron's magazine that focused on the company's problems.,2,3,3,2,2,7,3,4,3,4,5,4,4,4,5,3,4,4,1,7
951586740,"Minpeco said it wouldn't pursue such litigation if its settlement plan in the W. Herbert Hunt case is approved by Judge Abramson, who will consider the proposal at a hearing next week.",2,3,1,3,2,3,5,1,4,3,5,6,3,4,2,1,3,1,6,6
951586534,"The news sent Winnebago stock falling 62.5 cents, to $ 5.25, in New York Stock Exchange composite trading - a 52-week low.",2,2,3,3,4,3,3,3,4,3,3,2,5,5,4,4,4,4,1,5
951587084,Executives at Sharon declined to comment on the proposal.,1,1,1,1,1,2,1,1,2,1,3,3,1,1,1,1,7,3,1,2
951586758,"Lotus Development Corp. reported a surprisingly strong 51 % increase in third-quarter net income on a 32 % sales gain, buoyed by strong demand for a new version of its 1-2-3 computer spreadsheet.",3,3,2,3,3,4,5,2,5,4,6,4,3,3,2,2,5,2,5,4
951586447,"Several of Wall Street's largest securities firms, including Salomon Brothers Inc. and PaineWebber Inc., were also large buyers, traders said.",3,2,2,1,2,3,5,4,4,2,3,3,4,4,2,5,4,2,5,5
951586909,"The sale, which had been expected, is part of KKR's program to pay down $ 5 billion of a $ 6 billion bridge loan by February.",2,2,2,2,3,6,4,2,1,4,4,4,3,3,3,2,2,4,2,5
951587538,"In asset terms, Mitsubishi Estate is the largest real estate firm in Japan.",1,1,2,2,3,1,1,2,1,1,2,2,1,2,2,3,1,3,1,2
951587498,Goodson will pay the additional $ 20 million in settlement of the management contract.,2,2,1,1,1,2,3,3,2,2,2,3,2,1,1,3,4,1,5,3
951587543,"Under the current circumstances, he says, their scenario no longer seems unrealistic.",1,2,1,2,1,2,4,1,2,3,1,3,1,2,1,1,1,1,2,2
951587293,"In composite trading Friday on the New York Stock Exchange, BellSouth shares fell 87.5 cents to $ 52.125.",6,2,5,5,1,2,1,2,3,6,2,5,4,3,1,5,3,2,3,5
951586598,"Rep. Ronnie Flippo (D., Ala.), one of the members of the delegation, says he was particularly impressed by Mr. Krenz's ready admission that East Germany needed to change.",2,3,3,1,4,3,6,2,3,3,3,6,2,2,5,3,1,5,3,4
951587277,"But the last stock market boom, in 1986, seems small compared with the current rush to market.",2,2,2,1,1,2,3,3,2,2,2,2,2,3,1,3,1,1,3,1
951587411,"In a related move, Pierre Lortie, chairman and chief executive, resigned.",1,1,1,1,1,3,4,1,1,1,2,1,2,2,2,2,1,2,1,1
951586803,"Of the 11 components to the index, only three others rose in September: the money supply, the length of the average work week and stock prices.",5,3,2,2,3,5,1,4,3,4,2,4,3,3,2,2,3,2,5,3
951586876,"The International Monetary Fund and the World Bank are expected to provide approximately $ 180 million to help support the deal, and additional funds are expected from Japan.",3,5,2,6,1,3,1,4,4,3,6,6,1,5,2,1,5,5,2,6
951586921,"The housing starts numbers, however, are one of the least precise of the government's economic indicators and are often revised significantly as more information is collected.",3,3,1,3,2,3,4,5,4,4,4,5,2,2,5,6,4,4,6,4
951587193,"Armstrong's shares, also listed on the Big Board, closed at $ 39.125, up 12.5 cents.",2,6,5,4,1,2,2,4,2,2,3,4,3,2,3,3,2,3,2,3
951587184,"Rockwell, based in El Segundo, Calif., is an aerospace, electronics, automotive and graphics concern.",2,1,3,1,2,1,3,2,4,6,3,2,2,2,3,2,2,1,6,3
951587518,"Meanwhile, finding a volunteer to write the computer program isn't a problem.",2,1,1,2,1,1,3,2,1,1,2,2,1,2,1,1,1,3,3,1
951587238,"Instead, they were pressured by Pakistan's ISI, the channel for their support, into attacking Jalalabad.",3,3,6,2,4,4,4,3,2,1,5,3,5,3,4,1,2,4,5,5
951586708,"Carbide, like other companies with a heavy reliance on the so-called commodity end of the chemicals industry, was expected to post earnings sharply lower than in an exceptionally strong 1988 third quarter.",6,2,7,5,7,3,2,5,3,6,1,6,5,3,6,4,5,2,6,3
951587559,"However, he stressed that the improvement depends on a continued reduction in smoking.",1,1,1,2,1,2,3,1,2,2,1,2,1,2,1,1,2,1,1,4
951587206,"Dow Jones industrials 2645.08, up 41.60; transportation 1205.01, up 13.15; utilities 219.19, up 2.45.",6,2,2,3,5,3,6,6,2,4,2,3,4,3,2,5,5,4,5,5
951587005,"Most of the buying was institutional, he added.",1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,1
951587307,"But after years of using the issue for its benefit, the GOP finds its candidates on the defensive.",2,2,2,2,3,3,3,2,2,4,1,4,1,1,3,2,2,2,3,2
951587266,"Dow closed at $ 94.625 a share, up 75 cents, in New York Stock Exchange composite trading.",2,1,2,1,3,2,2,3,3,3,3,3,3,5,4,3,4,1,4,4
951586566,"Revco received the offer Oct. 20, but issued a response yesterday only after a copy of the proposal was made public by bondholders.",5,3,1,2,2,2,3,5,4,3,4,2,1,4,3,3,4,6,1,3
951587068,Source: Fulton Prebon (U.S.A.) Inc.,2,1,3,4,6,2,1,1,2,1,2,1,2,1,1,2,4,3,1,4
951586766,"Digital Equipment Corp. reported a 32 % decline in net income on a modest revenue gain in its fiscal first quarter, causing some analysts to predict weaker results ahead than they had expected.",3,4,3,2,5,4,3,6,3,3,5,6,2,2,4,5,4,5,5,6
951586481,Philips Industries tumbled 3/8 to 22 7/8; Hilton Hotels fell 2 1/2 to 92 and Holiday Corp. fell 2 1/8 to 69 7/8.,5,2,2,3,5,2,3,4,2,5,4,3,5,4,4,5,5,2,4,4
951586994,Continental Airlines is a unit of Texas Air Corp.,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1
951586988,"Goldman, Sachs & Co. will manage the offering.",2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1
951586425,"Joseph L. Dionne, chairman and chief executive officer of McGraw-Hill Inc., was elected to the board of directors of this electronics manufacturer.",1,2,1,2,1,4,5,2,1,3,4,2,3,3,2,3,3,3,2,4
951586794,"Moreover, such a sale could help Armstrong reassure its investors and deter the Belzbergs, who own a 9.85 % stake in the Lancaster, Pa., company.",3,2,3,1,3,2,4,5,5,3,4,4,4,4,4,1,4,4,2,6
951586607,"The paper producer reported that net income fell to $ 102.1 million, or $ 1.09 a share, from $ 122.4 million, or $ 1.29 a share, in the year-earlier period.",6,2,2,2,4,3,2,5,5,5,4,5,3,5,5,5,5,1,5,4
951587100,The shuttle is slated to return Monday to California.,1,1,3,2,1,1,2,3,1,1,1,1,2,2,2,1,2,3,2,1
951587182,"Mr. Foret, 44, is a 15-year veteran of Texas Air and Texas International Airlines, its predecessor.",1,2,1,1,2,2,2,2,5,2,1,3,5,2,3,2,4,3,4,2
951586754,"But investment bankers say that stock market uncertainties in the U.S. may cause many European companies to mark time before bidding for American companies, in the hope that share prices will come down.",3,1,3,7,3,5,2,3,1,6,2,6,5,5,1,5,2,2,3,5
951587213,"Dow Jones industrials 2596.72, off 17.01; transportation 1190.43, off 14.76; utilities 215.86, up 0.19.",5,2,4,2,4,5,6,2,4,4,6,4,3,2,4,6,6,3,1,6
951587387,"B.A.T Industries, the most active Amex issue, rose 3/8 to 12 3/8.",3,1,4,1,3,3,3,3,4,3,1,2,6,2,5,3,2,5,4,3
951586515,"For Iowa, a $ 1.8 million request became $ 12 million for Senator Grassley, ranking minority member of a military construction subcommittee.",5,6,4,6,5,7,5,5,5,2,5,6,4,2,4,5,5,6,3,5
951586470,"He also plans to get to know clients that Mr. Roman was closer to, such as Lever Brothers, American Express and Seagram.",3,5,2,5,1,4,2,2,3,2,5,1,3,2,4,5,2,2,4,5
951587270,Mr. Cawthorn said the profit growth in the latest quarter was due to the sale of two Rorer drugs.,3,1,1,1,2,4,1,3,2,3,2,3,2,2,1,5,1,1,2,1
951587532,"About $ 550 million of long-term debt is affected, according to Moody's.",5,2,1,1,2,2,3,5,3,2,3,2,4,1,1,3,3,1,2,3
951586733,"United Education & Software posted a $ 250,000 bond against potential losses to the student aid commission and to taxpayers in guaranteeing any more loans for National Technical Schools students prior to the hearing.",5,4,3,3,3,3,5,3,4,4,6,6,2,3,4,7,6,6,5,2
951586897,More than half the people surveyed for the Employee Benefit Research Institute say they would be willing and able to pick up most of the cost of the coverage.,3,3,1,2,2,2,3,3,3,4,4,2,2,4,5,4,6,1,2,1
951586911,"Initial claims for regular state unemployment benefits rose to a seasonally adjusted 396,000 during the week ended Oct. 7 from 334,000 the previous week, the Labor Department said.",3,7,1,6,2,4,3,4,5,3,6,5,2,5,5,2,7,5,3,5
951586989,"Its developer is a Polish American, Sasha Muniak.",1,1,1,1,3,1,2,1,1,3,1,3,1,1,1,1,2,1,1,1
951587258,"The record price for a full membership on the exchange is $ 550,000, set March 9, 1989.",2,2,5,4,5,2,3,1,4,3,3,4,2,3,2,2,3,2,2,2
951587455,"Reggie Jackson, the retired baseball star, has found another use for them.",1,1,1,1,1,1,1,3,3,2,1,1,3,2,1,3,1,2,2,1
